,SST ALL,H+ CO2+CLIM,H+ ALL,NPP CO2+CLIM,NPP ALL,Oxygen CO2+CLIM,Oxygen ALL
0,-0.5713599730584608,1.0583734323772334e-09,1.047089057030172e-09,18.906558005926602,29.374701543637947,-0.1897296841556932,-0.2912494706254766
1,-0.37340870708369317,5.752498313171756e-10,5.516797504365478e-10,106.31083231457497,116.97152522507915,-0.6585080263315429,-0.5930915131085123
2,-0.9298327928984975,7.297369375760262e-10,6.346335955338865e-10,117.78971354119611,135.77099752458537,-0.2684657501505367,-0.2569801032451252
3,-1.2290068814696204,5.077143093081036e-10,4.901540140865579e-10,57.79022506916143,71.90903765983963,-0.14322719965089734,-0.13934922508718214
4,-0.30906950473202977,1.1968591812970047e-09,1.2642866260384913e-09,10.307698794966953,14.517645709484473,-0.024697712266878426,-0.06990515658636157
5,0.37842155075074596,1.0934200362313355e-09,9.988022219614087e-10,3.6926448460900367,14.257240699582276,-0.08005939843732747,-0.060627173120287675
6,1.2015608296975975,1.2200550908009632e-09,1.1226323129300495e-09,-19.869374648149197,-24.517736341656814,-0.08741147784293105,-0.07278960406908801
7,0.9865915702959547,1.1190392200689188e-09,1.0460140878252915e-09,7.113314263422943,4.881352402095727,-0.10402016136111397,-0.07416487620857293
8,0.5201146531802833,1.1022025947320616e-09,1.053261838415755e-09,11.649428535764892,18.432937730288817,-0.06141780996778114,-0.06165843152573597
9,0.7649896304549546,9.681648480785577e-10,9.937094059672517e-10,-4.178633645593174,7.5976033338086975,-0.20128892819307365,-0.12068547593050635
10,1.4826880598911425,1.3637638005277524e-09,1.2732929285941204e-09,-5.749155100193944,1.4496907083921582,-0.1742689542038091,-0.19260872419771474
11,0.8129464242665949,1.5177241637837069e-09,1.938480045907445e-09,1.7905720230536155,2.0133960440979792,-0.3540883967658095,-0.31323446789310627
12,0.4937397718818451,1.647263274914388e-09,1.353732507708593e-09,9.630624285194191,11.538280970337855,0.04454109848850421,0.05674401138287104
13,1.0678124629992347,1.1900552481299176e-09,1.1255395046556437e-09,-0.09560075501692444,-1.8904108297445477,-0.1109637235293958,-0.07340923709851509
14,2.426617778466968,1.4039527037002385e-09,1.4301556255422181e-09,-2.227010274999376,0.08750384104619874,-0.43040713205258463,-0.45514341046182505
15,2.4646060624268022,1.1565938221053977e-09,1.1766507508798508e-09,-0.9110414126828713,4.251569760746309,-0.4102015847157061,-0.4411889678197553
16,1.6409483708114228,1.2871771120686332e-09,1.228442305803095e-09,-3.5873024930198545,11.364852828579599,-0.27974516069892824,-0.2904961428229086
17,1.8947826517645938,2.2613313841500566e-11,2.0727936009839885e-11,-2.1517708454019617,36.84737525090674,-0.330326439942478,-0.31118185442978274
18,0.6012682356311112,1.1368845488333642e-09,1.044973043432772e-09,-3.472322226496807,21.134743625147905,-0.05401981262891346,-0.09958003784012763
19,1.7698307349623885,8.356804977871621e-10,7.59347083435801e-10,0.27395139177239924,5.850551732734002,-0.16638386945756373,-0.2020545188196211
20,-1.0511686379666612e+19,3.7998443964048726e-23,3.7998443964048726e-23,0.0,0.0,-4.112716315374754e+18,-4.112716315374754e+18
21,1.0225069848735362,1.1491176394094947e-09,1.0710786571591096e-09,-30.791752852240467,1.7848952075489743,-0.045817936477636614,-0.05327005966408932
22,1.4538024863266303,1.2607461714961333e-09,1.0971254489515838e-09,-62.51770144452855,-53.823747191780456,0.06817221536409789,0.13898938596892518
23,1.2206182338900768,9.600380966289875e-10,9.78730095037116e-10,-49.080787090780106,-91.34839228166307,0.34693901746169903,0.5577630754462612
24,0.7404216346857242,1.035586072989799e-09,1.1005260307439956e-09,2.1693646414795325,8.688556661261815,0.01506353109073418,0.022492542047765997
25,0.945618322872544,7.734935187906867e-10,8.194632323516424e-10,14.98953021023327,33.33342504074946,-0.03559587453200389,-0.06972781928865521
26,1.567676348918845,8.716916173060432e-10,8.729313667556406e-10,-31.326616271821962,-0.5087556343184578,0.04864859623634309,0.05196600433047534
27,1.2652348921822607,6.11026105896732e-10,5.97844600709082e-10,1.981909113580202,3.103018304223194,-0.07935881589688781,-0.08664973667291019
28,2.00125986455129,4.725059420243752e-10,5.83463944716274e-10,4.195053615093653,14.976538309667248,-0.18924797098834645,-0.20668426457651234
29,1.6848239576991004,9.993479900756924e-10,9.273430623773408e-10,-74.27564311114293,-58.50038525501653,0.01154491170629728,0.017165864377785098
30,1.3536819812612026,1.371053785161973e-09,1.2148114414462226e-09,-32.67369284404834,-1.344682814991863,-0.07984268502103922,-0.08842748824438772
31,0.9658108430839268,1.1828630670461562e-09,1.1894571003848467e-09,4.696899118344152,13.7594301527826,-0.06500771169929814,-0.06638082368411385
32,-0.0037979411264709054,8.950292100112453e-10,9.228751379450206e-10,36.5481626929967,30.811520896721056,-0.008972950015501717,-0.00023249500591124807
33,0.22781787424553318,1.3213796296036831e-09,1.2563822072646885e-09,41.756594547856444,32.62011608273164,-0.030092251179500915,-0.030062517596363105
34,1.9127283572976261,8.028699317489911e-10,7.271362802057883e-10,26.070080003435482,22.89553887328723,-0.3177191476045544,-0.3355246106746759
35,-0.4061307003439933,1.1537811978833934e-09,1.0693775981491895e-09,17.268522212934126,16.906801564995668,0.03582039988045093,0.09436046716206369
36,0.9149800003214502,1.2679264841047355e-09,1.1562860008209541e-09,30.537755090088297,59.33907921926648,-0.1421952081028022,-0.1570953888324102
37,0.9905244324963626,1.280055683729273e-09,1.1741551011435488e-09,25.004391183773755,52.05318401453111,-0.13700069663629758,-0.15287369429752262
38,0.583948975911983,1.1215570100783192e-09,1.0068637194944839e-09,2.6811518292423915,36.690022561552446,-0.09044425089786606,-0.10275675538803916
39,0.7748664858108616,1.0363336071104532e-09,9.59064881791207e-10,10.205698205628575,24.897890220686783,-0.1020272313758204,-0.17536610911519573
40,0.5956311227083235,8.892834707833497e-10,8.935447298795977e-10,38.156859356659346,42.92569884924539,0.11541302432772424,0.09785303981297527
41,-0.1803089959083503,9.984339747921509e-10,1.1827135388997931e-09,14.225789780900481,18.89133742641546,-0.17468213682147338,-0.21946366094270875
42,0.5006585936938844,1.7912338773398566e-09,2.0142406638554044e-09,-1.0519317275243614,0.3000450852400045,0.15162082097797244,0.14396212256105465
43,1.5969238934505996,1.3519033704965672e-09,1.3997920031556407e-09,3.4484242791273862,5.49731780595333,-0.08810086079742638,-0.09466035493245102
44,0.1432175245379517,7.861161205249711e-10,7.829593794081515e-10,6.5244137156130675,7.509520519231849,0.0070701268143423925,-0.021414823411532738
