,Coastal Indicators,Trend Units,Model Trends,Model R value,Model P value,Observation Trends,Observation R value,Observation P value
0,SST,°C °C-1,0.601644611,0.976277413,7.38E-27,0.598155537,0.994294562,1.50E-38
1,pH,10-9 M ppm-1,0.017880283,0.999479678,2.66E-52,0.01579361,0.998920801,6.45E-47
2,NPP,Tg C yr-1 (Tg N yr-1)-1,0.049716547,0.996864978,2.13E-32,0.081870401,0.990982822,3.62E-17
3,O2,mg O2 l-1 yr-1 °C^-1,-0.135019088,-0.842311218,9.54E-12,-0.124873235,-0.987711156,3.05E-32
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
, GSAT,SSP126,,SSP370,SSP585,,,
,Mean,1.8,2.7,3.6,4.4,,,
,Min,1.3,2.1,2.8,3.3,,,
,Max,2.4,3.5,4.6,5.7,,,
,SST,,,,,,,
,,1.0829603,1.62444045,2.1659206,2.647236289,,,
,,0.782137994,1.263453683,1.684604911,1.985427217,,,
,,1.443947067,2.105756139,2.767565211,3.429374283,,,
,,,,,,,,
,CO2,54.7452381,246,386.9918271,596.8983445,,,
,,0.978860366,4.398549691,6.919523502,10.6727115,,,
,,0.864624949,3.885228103,6.111998058,9.427179767,,,
,,,,,,,,
,RiverN,2.428571429,34,43.71428571,31.57142857,,,
,NPP Model,0.120740186,1.6903626,2.173323343,1.569622414,,,
,NPP obs,0.198828116,2.78359363,3.578906096,2.584765514,,,
,,,,,,,,
,O2 Mean,-0.233903091,-0.350854636,-0.467806181,-0.571763111,,,
,O2 Min,-0.162335206,-0.262233794,-0.349645058,-0.412081676,,,
,O2 Max,-0.324045811,-0.472566808,-0.621087805,-0.769608802,,,